#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
1499.999999999864,-283015.6446285375,819.3037364637926,152.0672683330329,0
3000.0000000003583,-282420.76927172375,1552.2318290039016,288.10274328175507,5.1e+03
4500.000000001268,-282929.56821204856,1604.4606726768388,297.79670320413555,5.09e+03
6000.000000002177,-282880.8817443796,1688.385730687589,313.37365439865766,5.01e+03
7500.000000003087,-283456.0018106988,1561.9784602650975,289.91177151557775,5e+03
9000.000000001546,-283393.25477285223,1652.9245436494425,306.7918635380273,4.99e+03
10499.999999997908,-283410.6719136621,1560.930839055089,289.7173272715647,4.99e+03
11999.99999999427,-283675.8611816936,1600.8701520149589,297.13028287105857,4.98e+03
13499.999999990632,-283684.6803382096,1572.8573382110574,291.93095094579843,4.97e+03
14999.999999986994,-284318.7929831977,1592.2292678160256,295.52648735831605,4.95e+03
16499.999999983356,-284681.19313722244,1668.693129668856,309.71859961248515,4.94e+03
17999.99999997972,-284682.611254632,1644.8200684849974,305.2876284849207,4.94e+03
19499.99999997608,-284632.7191567846,1587.5251313590709,294.65337382417977,4.95e+03
20999.999999972442,-284801.20002661186,1562.448613058311,289.9990344533396,4.96e+03
22499.999999968804,-284712.99670450756,1596.3683639081273,296.2947263008241,4.96e+03
23999.999999965166,-284602.2779440898,1673.6505975193934,310.6387328430912,4.96e+03
25499.99999996153,-284676.38077050174,1450.2973456991265,269.1831439497663,4.96e+03
26999.99999995789,-284695.1948175054,1672.094477952177,310.34990851426835,4.96e+03
28499.999999954252,-284707.21524664236,1685.2835320419797,312.7978693108216,4.96e+03
29999.999999950614,-284637.12611531775,1601.6238177552057,297.2701673671921,4.96e+03
31499.999999946976,-284756.6902585209,1649.3955903641024,306.1368704478057,4.96e+03
32999.99999994615,-284692.60612575215,1633.8747544360579,303.2561181495068,4.96e+03
34499.9999999607,-284788.0994092102,1538.8563849458353,285.6201874845238,4.96e+03
35999.999999975254,-284637.8682438285,1589.3065132155148,294.98400806971205,4.97e+03
37499.99999998981,-284710.2075473917,1652.1034027969772,306.6394552908857,4.97e+03
39000.00000000436,-284828.77887984924,1616.046610995632,299.94711691861244,4.97e+03
40500.00000001891,-284736.78235714854,1648.3873279735235,305.94973141660824,4.97e+03
42000.00000003346,-284757.08213267574,1535.5218968380755,285.0012881981315,4.97e+03
43500.000000048014,-284785.6451596152,1461.395695251257,271.24305851415227,4.96e+03
45000.000000062566,-284764.5144104649,1545.51798030908,286.8566161306336,4.96e+03
46500.00000007712,-284777.9248824803,1599.2006602044642,296.8204160319031,4.96e+03
48000.00000009167,-284782.94224588614,1549.283899061182,287.55559131152074,4.96e+03
49500.00000010622,-284735.5128576345,1612.315648039504,299.2546297252317,4.96e+03
51000.00000012077,-284702.26181232784,1693.1200701445655,314.252373775297,4.96e+03
52500.000000135326,-284757.34212913987,1587.163569547455,294.58626596835177,4.95e+03
54000.00000014988,-284783.5983195094,1665.2077940175004,309.0717021944251,4.95e+03
55500.00000016443,-284742.7467361268,1381.1237005522473,256.3441359116413,4.94e+03
57000.00000017898,-284719.35019323474,1663.8255948014673,308.8151584369397,4.93e+03
58500.00000019353,-284737.48692775925,1600.573948704531,297.07530591161935,4.92e+03
60000.000000208085,-284769.3209635567,1557.8683311524255,289.1489090033698,4.91e+03
61500.00000022264,-284777.4127759613,1593.1277247990406,295.6932459034577,4.9e+03
63000.00000023719,-284643.3993211437,1566.717395877058,290.79134396379743,4.89e+03
64500.00000025174,-284757.9553303083,1589.4372654746535,295.0082764063382,4.88e+03
66000.00000026629,-284746.1376293415,1612.0926767424528,299.21324502923903,4.88e+03
67500.00000028084,-284744.9513027875,1547.8373228582855,287.28709883208995,4.87e+03
69000.00000029539,-284744.3825217187,1598.2493928758238,296.6438555968865,4.86e+03
70500.00000030994,-284736.73235618294,1592.0060251834373,295.485052300959,4.85e+03
72000.0000003245,-284702.43768499047,1550.1636998353513,287.7188871619494,4.85e+03
73500.00000033905,-284789.5119468807,1564.8625971235847,290.44708313939844,4.84e+03
75000.0000003536,-284754.209552355,1623.6524119963606,301.3587953111185,4.83e+03
76500.00000036815,-284707.62082530407,1593.1134147879254,295.69058988688744,4.83e+03
78000.0000003827,-284590.00653149316,1547.1273396033555,287.15532204488113,4.82e+03
79500.00000039725,-284788.13970478496,1478.3279723303237,274.38578203349687,4.82e+03
81000.0000004118,-285318.6127377833,1641.873744329146,304.74077455753866,4.81e+03
82500.00000042636,-285847.4194917584,1602.195741004226,297.37631945988244,4.81e+03
84000.00000044091,-285793.60956293106,1559.8738169193527,289.5211381641615,4.8e+03
85500.00000045546,-287048.5152139511,1745.8051847314848,324.0310200824955,4.8e+03
87000.00000047001,-287664.4160867229,1508.2808192955072,279.9451947568565,4.79e+03
88500.00000048456,-287615.586983184,1526.3197749444894,283.2933238902119,4.79e+03
90000.00000049912,-287568.66089691396,1590.0691885552662,295.12556479694183,4.78e+03
91500.00000051367,-287567.40394219,1610.4547145803226,298.90923026579725,4.78e+03
93000.00000052822,-287539.51896818087,1650.7310987808733,306.384748136794,4.78e+03
94500.00000054277,-287552.2642218981,1544.8181124283192,286.7267168123653,4.77e+03
96000.00000055732,-287533.14744270843,1770.097970520614,328.5398943994817,4.77e+03
97500.00000057188,-287620.56509314483,1551.746874551822,288.0127330749031,4.76e+03
99000.00000058643,-287644.5724744129,1552.8605687591808,288.21944082971254,4.76e+03
100500.00000060098,-287554.26714834286,1668.6436316910094,309.70941251624214,4.76e+03
102000.00000061553,-287620.38160501886,1659.1228371809293,307.942300822407,4.76e+03
103500.00000063008,-287599.2083331119,1644.2730997032952,305.18610807826917,4.75e+03
105000.00000064464,-287660.9655009511,1537.5952378627549,285.3861116670279,4.75e+03
106500.00000065919,-287620.55671601626,1671.59973749631,310.2580819714257,4.74e+03
108000.00000067374,-287557.766687276,1574.5349699307487,292.2423285967578,4.74e+03
109500.00000068829,-287610.2010665737,1614.4065914359403,299.642720290896,4.73e+03
111000.00000070284,-287559.1764041544,1622.6395944812216,301.17081082381253,4.73e+03
112500.0000007174,-287602.1044995484,1597.6990170160495,296.541702817853,4.73e+03
114000.00000073195,-287619.35181612906,1628.6812479461896,302.29217485249114,4.72e+03
115500.0000007465,-287652.4658491301,1686.9397131346936,313.105265607732,4.72e+03
117000.00000076105,-287673.04655367567,1576.567158027716,292.61951385649854,4.72e+03
118500.0000007756,-287570.3471314211,1573.610025955285,292.07065392050526,4.72e+03
