#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
7.499999999999936,-139.30018997192383,1347.9876708984375,211.10110904624247,0
15.00000000000019,-690.1804504394531,1890.3126220703125,296.0317068012852,1.27e+04
22.500000000000473,-609.994010925293,1813.586669921875,284.016067533332,1.28e+04
30.000000000000757,-618.6895580291748,1831.5010986328125,286.82154999467247,1.29e+04
37.50000000000104,-600.96706199646,1835.400634765625,287.432235403875,1.3e+04
45.00000000000132,-658.9484558105469,1881.1846923828125,294.60223075938416,1.31e+04
52.500000000001606,-705.267147064209,1922.120849609375,301.01302247297525,1.33e+04
60.00000000000189,-698.1372718811035,1901.79931640625,297.83057630576326,1.34e+04
67.50000000000217,-703.4896621704102,1908.080810546875,298.8142873649821,1.35e+04
75.00000000000246,-714.0071105957031,1912.513427734375,299.5084557349606,1.31e+04
82.50000000000274,-693.6101379394531,1895.3433837890625,296.81954737364566,1.32e+04
90.00000000000303,-690.0995216369629,1895.8197021484375,296.89414103358337,1.33e+04
97.50000000000331,-679.9518127441406,1891.211669921875,296.1725018564981,1.35e+04
105.0000000000036,-667.5253753662109,1893.704345703125,296.562866422343,1.36e+04
112.50000000000388,-655.5880889892578,1883.244873046875,294.9248645878741,1.37e+04
120.00000000000416,-624.0831604003906,1852.0394287109375,290.0379475560539,1.38e+04
127.50000000000445,-612.7954254150391,1847.646484375,289.34999213827416,1.38e+04
134.9999999999981,-607.5458183288574,1842.285888671875,288.51049803717166,1.39e+04
142.49999999999127,-580.7747840881348,1797.8525390625,281.55202980806183,1.4e+04
149.99999999998445,-573.845739364624,1776.1707763671875,278.15656540592283,1.37e+04
157.49999999997763,-555.918872833252,1784.05615234375,279.3914517849573,1.38e+04
164.9999999999708,-544.4560585021973,1792.32177734375,280.6858869212204,1.38e+04
172.499999999964,-543.4089794158936,1799.35693359375,281.7876249554405,1.38e+04
179.99999999995717,-532.9813404083252,1770.13232421875,277.21091584771267,1.37e+04
187.49999999995035,-512.3240184783936,1750.7894287109375,274.18172887366325,1.36e+04
194.99999999994353,-504.7356548309326,1743.1932373046875,272.992130136964,1.36e+04
202.4999999999367,-503.44971084594727,1742.3597412109375,272.8616007904611,1.35e+04
209.99999999992988,-495.66809272766113,1736.874755859375,272.00262669461836,1.34e+04
217.49999999992306,-481.5646667480469,1749.466064453125,273.9744839050871,1.34e+04
224.99999999991624,-479.19071197509766,1716.13916015625,268.7553364232268,1.33e+04
232.49999999990942,-468.08363342285156,1680.063232421875,263.1056791459293,1.33e+04
239.9999999999026,-467.97997283935547,1677.1103515625,262.64324433457824,1.33e+04
247.49999999989578,-459.2103900909424,1655.176513671875,259.2083037900068,1.33e+04
254.99999999988896,-439.90881729125977,1650.945068359375,258.5456398668703,1.32e+04
262.49999999988216,-419.10606384277344,1628.232421875,254.9887342914423,1.31e+04
269.99999999987534,-421.5698890686035,1636.27685546875,256.24852982960005,1.31e+04
277.4999999998685,-419.08544540405273,1637.7786865234375,256.4837235246828,1.3e+04
284.9999999998617,-411.4797134399414,1639.751220703125,256.7926315080074,1.29e+04
292.4999999998549,-404.0433692932129,1630.540771484375,255.3502325255328,1.29e+04
299.99999999984806,-390.2294578552246,1614.42431640625,252.8263210578422,1.27e+04
307.49999999984124,-381.4576587677002,1600.6514892578125,250.66943257250495,1.27e+04
314.9999999998344,-360.33790588378906,1601.81005859375,250.8508698934861,1.27e+04
322.4999999998276,-366.0955009460449,1590.710693359375,249.11265791924436,1.27e+04
329.9999999998208,-359.17401695251465,1617.7825927734375,253.35224268227702,1.26e+04
337.49999999981395,-356.54676055908203,1638.764892578125,256.6381679579571,1.26e+04
344.99999999980713,-332.4405908584595,1643.7523193359375,257.4192220748389,1.26e+04
352.4999999998003,-338.6735305786133,1665.128173828125,260.7667798363311,1.26e+04
359.9999999997935,-313.47322940826416,1656.591796875,259.4299436909082,1.26e+04
367.49999999978667,-314.3908405303955,1655.42529296875,259.2472637794873,1.26e+04
374.99999999977985,-313.2703056335449,1650.581787109375,258.4887483415052,1.25e+04
382.499999999773,-319.6793727874756,1665.8466796875,260.87930117984547,1.25e+04
389.9999999997662,-303.3923864364624,1641.0279541015625,256.99257386815293,1.24e+04
397.4999999997594,-302.4518585205078,1650.19580078125,258.42830109580484,1.24e+04
404.99999999975256,-305.00846099853516,1671.7076416015625,261.797154945757,1.24e+04
412.49999999974574,-282.8406391143799,1634.64501953125,255.9929767680812,1.23e+04
419.9999999997389,-278.68204498291016,1627.478515625,254.87066908288904,1.23e+04
427.4999999997321,-275.7107620239258,1634.371337890625,255.95011695629745,1.22e+04
434.9999999997253,-276.49855041503906,1661.8056640625,260.2464594272632,1.22e+04
442.49999999971845,-262.2784481048584,1652.9599609375,258.8611813714656,1.22e+04
449.99999999971163,-269.1816349029541,1675.2060546875,262.3450226290356,1.21e+04
457.4999999997048,-258.4929666519165,1672.7203369140625,261.9557477194225,1.21e+04
464.999999999698,-244.9804391860962,1686.4434814453125,264.10485567692916,1.21e+04
472.49999999969117,-251.47234535217285,1683.033203125,263.57079030591984,1.21e+04
479.99999999968435,-250.45861911773682,1700.589111328125,266.3201267961591,1.21e+04
487.4999999996775,-240.51321983337402,1687.862548828125,264.32708819788644,1.21e+04
494.9999999996707,-232.5091209411621,1677.0179443359375,262.628772935149,1.21e+04
502.4999999996639,-238.00487899780273,1690.62451171875,264.75962437157926,1.21e+04
509.99999999965706,-228.60415267944336,1673.4517822265625,262.0702954411924,1.21e+04
517.4999999996503,-232.00095748901367,1667.285888671875,261.10468796884214,1.2e+04
524.9999999996435,-214.57694149017334,1648.340087890625,258.1376878671087,1.2e+04
532.4999999996367,-216.248432636261,1663.564208984375,260.52185570226624,1.2e+04
539.9999999996298,-207.618332862854,1661.263671875,260.1615809418395,1.2e+04
547.499999999623,-190.15219688415527,1651.67041015625,258.6592317498404,1.2e+04
554.9999999996162,-195.31673383712769,1662.0155029296875,260.2793211652009,1.2e+04
562.4999999996094,-184.1028537750244,1660.74462890625,260.0802964103031,1.2e+04
569.9999999996026,-188.26785373687744,1677.6064453125,262.72093491222734,1.21e+04
577.4999999995957,-168.75755405426025,1649.61181640625,258.33684643943843,1.21e+04
584.9999999995889,-167.55874061584473,1639.55517578125,256.7619299657573,1.21e+04
592.4999999995821,-176.24737548828125,1641.5865478515625,257.0800522351121,1.21e+04
599.9999999995753,-175.0193591117859,1645.69287109375,257.7231214628524,1.21e+04
607.4999999995684,-170.36830711364746,1648.2939453125,258.13046172578214,1.21e+04
614.9999999995616,-170.92452692985535,1654.3839111328125,259.08417856346273,1.21e+04
622.4999999995548,-155.75103855133057,1643.60498046875,257.3961481262113,1.21e+04
629.999999999548,-144.79553627967834,1637.0546875,256.3703419262486,1.21e+04
637.4999999995412,-138.44248723983765,1641.653076171875,257.0904708780301,1.21e+04
644.9999999995343,-132.8320484161377,1644.017333984375,257.4607245955269,1.21e+04
652.4999999995275,-144.14567804336548,1656.70068359375,259.44699585509693,1.22e+04
659.9999999995207,-129.5722689628601,1639.422607421875,256.7411691470253,1.22e+04
667.4999999995139,-127.9817943572998,1663.360595703125,260.48996891990436,1.22e+04
674.999999999507,-124.08844310045242,1654.824462890625,259.15317100803344,1.22e+04
682.4999999995002,-113.84786295890808,1637.1610107421875,256.3869926381414,1.22e+04
689.9999999994934,-110.71230983734131,1624.697021484375,254.4350742250368,1.22e+04
697.4999999994866,-114.50953805446625,1646.869384765625,257.907368949905,1.22e+04
704.9999999994798,-114.35055685043335,1656.05224609375,259.3454475410045,1.22e+04
712.499999999473,-111.25538635253906,1653.060791015625,258.87697182843857,1.22e+04
719.9999999994661,-107.7902717590332,1636.705078125,256.31559147979516,1.22e+04
727.4999999994593,-98.75185322761536,1643.5838623046875,257.39284092396394,1.23e+04
734.9999999994525,-97.65270575881004,1658.108642578125,259.6674887494385,1.23e+04
742.4999999994457,-85.01679515838623,1661.339599609375,260.1734715765092,1.23e+04
749.9999999994388,-92.98368847370148,1688.394775390625,264.41043734123036,1.23e+04
757.499999999432,-86.45608539134264,1695.6956787109375,265.5537925967945,1.23e+04
