#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
7.499999999999936,-129693.2314453125,16844.70703125,1786.5543074543243,0
15.00000000000019,-123576.10864257812,10473.810546875,1110.855256388006,8.55e+03
22.500000000000473,-126482.3994140625,13107.0703125,1390.1395186904535,8.73e+03
30.000000000000757,-125809.55517578125,12232.724609375,1297.4061705102665,8.51e+03
37.50000000000104,-125968.79663085938,12124.931640625,1285.973618298089,8.53e+03
45.00000000000132,-126732.21557617188,12685.06640625,1345.3816671543711,8.46e+03
52.500000000001606,-126588.33911132812,12248.875,1299.1190854267822,8.4e+03
60.00000000000189,-127358.6103515625,12781.8330078125,1355.6447597993474,8.16e+03
67.50000000000217,-127710.7705078125,12876.06640625,1365.6391802171233,8.05e+03
75.00000000000246,-126309.60473632812,11165.8623046875,1184.2544580842737,7.81e+03
82.50000000000274,-128147.86767578125,12782.4912109375,1355.714569005644,7.78e+03
90.00000000000303,-127663.73852539062,12058.6982421875,1278.948885659146,7.79e+03
97.50000000000331,-128427.00317382812,12599.52734375,1336.3093704215476,7.78e+03
105.0000000000036,-127984.8837890625,11929.224609375,1265.216876193276,7.79e+03
112.50000000000388,-127813.6005859375,11523.646484375,1222.2011475799045,7.73e+03
120.00000000000416,-128659.66235351562,12181.5556640625,1291.9791779548991,7.64e+03
127.50000000000445,-128790.03344726562,12082.8935546875,1281.5150472247276,7.59e+03
134.9999999999981,-129097.34619140625,12168.77734375,1290.6239057525404,7.43e+03
142.49999999999127,-128774.21728515625,11676.40625,1238.402890761116,7.38e+03
149.99999999998445,-128893.03125,11547.74609375,1224.7571588454612,7.3e+03
157.49999999997763,-129151.29052734375,11497.4111328125,1219.4186189045997,7.22e+03
164.9999999999708,-129398.66357421875,11497.1357421875,1219.3894108984045,7.19e+03
172.499999999964,-129771.359375,11677.85546875,1238.5565953043563,7.15e+03
179.99999999995717,-130079.65966796875,11721.21484375,1243.155302662761,7.1e+03
187.49999999995035,-129673.67700195312,11099.70703125,1177.2380114045352,7.07e+03
194.99999999994353,-130226.37646484375,11442.798828125,1213.6264226973012,7.04e+03
202.4999999999367,-130251.97412109375,11267.646484375,1195.0497164591482,7.03e+03
209.99999999992988,-129875.88989257812,10711.1689453125,1136.0295540681186,7.02e+03
217.49999999992306,-130400.41430664062,11021.6875,1168.9632382451284,7e+03
224.99999999991624,-130783.74536132812,11181.92578125,1185.9581548711747,6.94e+03
232.49999999990942,-130843.01782226562,11056.525390625,1172.6581546033203,6.91e+03
239.9999999999026,-130921.32861328125,11015.392578125,1168.2955970822395,6.89e+03
247.49999999989578,-130828.41528320312,10807.4404296875,1146.2401344466373,6.87e+03
254.99999999988896,-131327.97436523438,11153.6943359375,1182.9639199381988,6.85e+03
262.49999999988216,-131619.134765625,11264.48828125,1194.714756558313,6.83e+03
269.99999999987534,-131251.32421875,10756.568359375,1140.8446285362463,6.82e+03
277.4999999998685,-132132.9716796875,11448.6982421875,1214.2521161917184,6.84e+03
284.9999999998617,-131480.431640625,10558.759765625,1119.8649941288368,6.84e+03
292.4999999998549,-132308.67846679688,11223.6640625,1190.3849285760891,6.85e+03
299.99999999984806,-132245.3876953125,10997.2392578125,1166.3702508866227,6.84e+03
307.49999999984124,-132517.55908203125,11135.845703125,1181.070888983479,6.82e+03
314.9999999998344,-131903.61938476562,10395.435546875,1102.5427821142198,6.8e+03
322.4999999998276,-132143.17041015625,10494.6640625,1113.0669860486223,6.8e+03
329.9999999998208,-132400.83032226562,10542.208984375,1118.109613671399,6.8e+03
337.49999999981395,-132013.56958007812,9958.83203125,1056.2364919518277,6.8e+03
344.99999999980713,-132751.53393554688,10514.36328125,1115.1562906619947,6.8e+03
352.4999999998003,-132968.70776367188,10525.40234375,1116.327096697567,6.82e+03
359.9999999997935,-133338.13891601562,10690.30859375,1133.817099386072,6.83e+03
367.49999999978667,-133135.51635742188,10258.0625,1087.9729585983016,6.85e+03
374.99999999977985,-133229.09814453125,10247.9365234375,1086.89899471093,6.85e+03
382.499999999773,-133370.47338867188,10236.138671875,1085.6477112965858,6.85e+03
389.9999999997662,-133432.9765625,10105.564453125,1071.7989733804247,6.86e+03
397.4999999997594,-134119.50952148438,10648.275390625,1129.3590461851609,6.87e+03
404.99999999975256,-133847.50219726562,10177.669921875,1079.4464994280636,6.88e+03
412.49999999974574,-134040.00561523438,10197.765625,1081.5778552843979,6.89e+03
419.9999999997389,-134070.35424804688,10039.5810546875,1064.8007558109357,6.9e+03
427.4999999997321,-134255.67211914062,10045.65234375,1065.4446784156023,6.93e+03
434.9999999997253,-134719.48168945312,10344.158203125,1097.104292790456,6.95e+03
442.49999999971845,-134710.51708984375,10088.470703125,1069.986005506517,6.97e+03
449.99999999971163,-134949.91333007812,10113.685546875,1072.660298839715,6.97e+03
457.4999999997048,-134366.80737304688,9378.5537109375,994.6920120891983,6.98e+03
464.999999999698,-135105.51147460938,10007.23828125,1061.370472274832,6.99e+03
472.49999999969117,-134694.86010742188,9493.484375,1006.8815902491818,7.01e+03
479.99999999968435,-135165.34057617188,9838.73828125,1043.499315462928,7.02e+03
487.4999999996775,-134788.7568359375,9280.41015625,984.2828794132457,7.03e+03
494.9999999996707,-134961.03344726562,9332.40625,989.7975995616893,7.05e+03
502.4999999996639,-135590.05493164062,9805.333984375,1039.9564464561356,7.07e+03
509.99999999965706,-135764.04272460938,9813.3828125,1040.810107403162,7.09e+03
517.4999999996503,-135542.82275390625,9488.56640625,1006.3599891172692,7.11e+03
524.9999999996435,-135631.50439453125,9451.9189453125,1002.4731492290068,7.11e+03
532.4999999996367,-135873.17260742188,9486.810546875,1006.1737621841518,7.12e+03
539.9999999996298,-135772.767578125,9252.798828125,981.3544142814546,7.13e+03
547.499999999623,-136149.5283203125,9410.1748046875,998.0457540771519,7.14e+03
554.9999999996162,-136000.59252929688,9094.17578125,964.5308098619581,7.15e+03
562.4999999996094,-136210.35327148438,9137.947265625,969.1732256551655,7.16e+03
569.9999999996026,-135803.15234375,8624.9736328125,914.7670996470686,7.17e+03
577.4999999995957,-136775.98779296875,9467.64453125,1004.1410092423488,7.19e+03
584.9999999995889,-136548.78002929688,9085.9599609375,963.6594376771326,7.2e+03
592.4999999995821,-136529.25463867188,8886.427734375,942.4969942947776,7.22e+03
599.9999999995753,-136933.53149414062,9157.25390625,971.2208933235362,7.21e+03
607.4999999995684,-136714.0185546875,8762.185546875,929.3198333721276,7.22e+03
614.9999999995616,-136679.20458984375,8607.177734375,912.8796617148117,7.23e+03
622.4999999995548,-136894.3330078125,8692.451171875,921.9237861863405,7.23e+03
629.999999999548,-137061.90307617188,8689.693359375,921.6312918264275,7.24e+03
637.4999999995412,-137124.04833984375,8697.47265625,922.456366214199,7.25e+03
644.9999999995343,-137179.0029296875,8523.3603515625,903.9899668079536,7.25e+03
652.4999999995275,-137500.111328125,8768.478515625,929.9872673860367,7.26e+03
659.9999999995207,-137360.98388671875,8432.412109375,894.34397097472,7.27e+03
667.4999999995139,-137735.0673828125,8644.306640625,916.8175638266707,7.27e+03
674.999999999507,-137798.69995117188,8563.4765625,908.2447032848883,7.27e+03
682.4999999995002,-137702.83374023438,8344.5400390625,885.0242347851571,7.27e+03
