#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
7.499999999999936,-304895.0009765625,24972.560546875,2648.596709364835,0
15.00000000000019,-305685.48828125,25184.951171875,2671.1229180577334,7.44e+03
22.500000000000473,-305696.24755859375,24797.69921875,2630.050868324718,7.64e+03
30.000000000000757,-306501.64453125,24936.412109375,2644.7627960409905,7.64e+03
37.50000000000104,-305828.4287109375,23845.451171875,2529.055175923931,7.6e+03
45.00000000000132,-307740.2314453125,25143.6875,2666.746481554985,7.59e+03
52.500000000001606,-306687.927734375,23666.33984375,2510.0585787030986,7.6e+03
60.00000000000189,-306134.47119140625,22570.40625,2393.8235572826834,7.65e+03
67.50000000000217,-308800.18896484375,24728.69921875,2622.7327091554516,7.69e+03
75.00000000000246,-307737.2041015625,23189.291015625,2459.462647460624,7.55e+03
82.50000000000274,-309289.984375,24326.44921875,2580.0699624041854,7.51e+03
90.00000000000303,-309320.17333984375,23903.49609375,2535.2114364637705,7.48e+03
97.50000000000331,-308367.8583984375,22417.994140625,2377.6586866199314,7.42e+03
105.0000000000036,-309911.0068359375,23537.412109375,2496.384467377169,7.42e+03
112.50000000000388,-311087.59375,24052.41015625,2551.005303303148,7.4e+03
120.00000000000416,-311295.5615234375,23817.75,2526.117181939055,7.37e+03
127.50000000000445,-310601.60009765625,22624.80859375,2399.5934849746204,7.37e+03
134.9999999999981,-311296.18408203125,22726.875,2410.4186763771204,7.35e+03
142.49999999999127,-312325.6357421875,23285.767578125,2469.694978482054,7.33e+03
149.99999999998445,-312413.49267578125,22978.849609375,2437.1431734498738,7.23e+03
157.49999999997763,-313516.25830078125,23598.03515625,2502.8141645707506,7.21e+03
164.9999999999708,-313047.9716796875,22634.0703125,2400.5757854382937,7.15e+03
172.499999999964,-312968.4228515625,22115.390625,2345.5644736848103,7.14e+03
179.99999999995717,-312740.01318359375,21410.921875,2270.848322347504,7.12e+03
187.49999999995035,-313508.4189453125,21714.66015625,2303.062888840068,7.1e+03
194.99999999994353,-314601.3349609375,22320.734375,2367.343288857478,7.08e+03
202.4999999999367,-314735.09912109375,21980.76171875,2331.2856944859445,7.05e+03
209.99999999992988,-314911.2392578125,21713.4140625,2302.930727790759,7.02e+03
217.49999999992306,-314724.48388671875,21126.890625,2240.7238890642334,7e+03
224.99999999991624,-315521.806640625,21442.6015625,2274.208278804861,6.96e+03
232.49999999990942,-315535.74853515625,21083.26953125,2236.0974237424944,6.95e+03
239.9999999999026,-315253.7763671875,20297.64453125,2152.7738179837274,6.92e+03
247.49999999989578,-316759.2099609375,21388.513671875,2268.471702098722,6.89e+03
254.99999999988896,-315879.1337890625,20021.08203125,2123.4415224003906,6.87e+03
262.49999999988216,-316209.337890625,19973.095703125,2118.3520791081096,6.85e+03
269.99999999987534,-317424.00244140625,20798.015625,2205.843315197675,6.83e+03
277.4999999998685,-317284.2548828125,20224.533203125,2145.019610211333,6.81e+03
284.9999999998617,-317849.69140625,20408.16015625,2164.495135874176,6.79e+03
292.4999999998549,-317707.15625,19929.6484375,2113.7440500456,6.77e+03
299.99999999984806,-318082.50927734375,19962.458984375,2117.2239457624396,6.71e+03
307.49999999984124,-319218.484375,20620.6875,2187.0358449956816,6.7e+03
314.9999999998344,-319589.3046875,20590.62890625,2183.847822191815,6.68e+03
322.4999999998276,-319075.7099609375,19706.69921875,2090.0979939662366,6.67e+03
329.9999999998208,-319858.7314453125,20078.8203125,2129.5652605503524,6.66e+03
337.49999999981395,-319880.109375,19736.015625,2093.2073001576623,6.66e+03
344.99999999980713,-319978.68359375,19382.4375,2055.7067059906944,6.66e+03
352.4999999998003,-319853.6103515625,18839.60546875,1998.1337899491919,6.66e+03
359.9999999997935,-320569.369140625,19090.373046875,2024.7302689522382,6.66e+03
367.49999999978667,-320052.603515625,18167.43359375,1926.8430541469563,6.65e+03
374.99999999977985,-320913.5380859375,18667.5625,1979.886864887371,6.64e+03
382.499999999773,-321118.45361328125,18492.955078125,1961.3679532146682,6.65e+03
389.9999999997662,-322262.3271484375,19213.869140625,2037.8282989644867,6.67e+03
397.4999999997594,-321106.32421875,17570.03515625,1863.4828098991875,6.68e+03
404.99999999975256,-323211.134765625,19374.640625,2054.879767262102,6.7e+03
412.49999999974574,-321770.1474609375,17549.666015625,1861.322453185638,6.71e+03
419.9999999997389,-322625.5615234375,17972.201171875,1906.1366492443096,6.72e+03
427.4999999997321,-322125.80078125,17064.35546875,1809.850281757305,6.73e+03
434.9999999997253,-323217.603515625,17852.01171875,1893.3893224553847,6.74e+03
442.49999999971845,-323662.58203125,17934.9921875,1902.1902540242663,6.74e+03
449.99999999971163,-323661.4462890625,17622.2578125,1869.0215593293235,6.73e+03
457.4999999997048,-323859.353515625,17490.75,1855.073804200671,6.74e+03
464.999999999698,-323366.51171875,16638.580078125,1764.6924255406338,6.75e+03
472.49999999969117,-324287.93115234375,17267.166015625,1831.360424702772,6.75e+03
479.99999999968435,-324488.466796875,17083.50390625,1811.881170358287,6.75e+03
487.4999999996775,-324479.802734375,16669.890625,1768.0132308407499,6.75e+03
494.9999999996707,-325057.525390625,16935.88671875,1796.224850441701,6.76e+03
502.4999999996639,-325493.1396484375,17093.64453125,1812.9566878630092,6.76e+03
509.99999999965706,-325581.1953125,16938.4765625,1796.4995299893244,6.77e+03
517.4999999996503,-325768.0439453125,16767.9140625,1778.4096238544257,6.78e+03
524.9999999996435,-325723.90234375,16356.36328125,1734.7604336598833,6.78e+03
532.4999999996367,-326144.46875,16369.5703125,1736.1611750633756,6.79e+03
539.9999999996298,-326491.3701171875,16439.890625,1743.6193669431955,6.8e+03
