#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
7.499999999999936,-40616.32531738281,3470.785888671875,368.11251559050015,0
15.00000000000019,-40403.065673828125,3232.62646484375,342.8532609349205,4.2e+03
22.500000000000473,-40447.22265625,3289.4912109375,348.884351703529,5.56e+03
30.000000000000757,-40376.5146484375,3217.793212890625,341.28004211186544,6.25e+03
37.50000000000104,-40316.25390625,3148.0009765625,333.8778581375426,6.61e+03
45.00000000000132,-40426.22216796875,3231.364013671875,342.719365012903,6.91e+03
52.500000000001606,-40492.1328125,3263.19287109375,346.0951424736156,7.1e+03
60.00000000000189,-40606.154052734375,3368.75390625,357.2909751887745,7.24e+03
67.50000000000217,-40496.74792480469,3238.486328125,343.47475966249044,7.31e+03
75.00000000000246,-40306.792724609375,3036.00732421875,321.999780256397,7.21e+03
82.50000000000274,-40367.77587890625,3080.402099609375,326.7083024678814,7.24e+03
90.00000000000303,-40489.085693359375,3225.45263671875,342.0924027309827,7.27e+03
97.50000000000331,-40348.74182128906,3076.28515625,326.2716583114356,7.3e+03
105.0000000000036,-40495.27185058594,3205.78466796875,340.00641250129206,7.34e+03
112.50000000000388,-40402.537353515625,3128.7177734375,331.83267625693327,7.37e+03
120.00000000000416,-40414.198486328125,3114.13330078125,330.2858430352195,7.39e+03
127.50000000000445,-40371.09191894531,3064.677734375,325.04057192265196,7.38e+03
134.9999999999981,-40582.97204589844,3253.746337890625,345.0932405376992,7.37e+03
142.49999999999127,-40415.52282714844,3075.6064453125,326.199674040848,7.36e+03
149.99999999998445,-40519.28698730469,3147.57666015625,333.8328550216141,7.28e+03
157.49999999997763,-40447.53723144531,3056.63916015625,324.1879985077711,7.3e+03
164.9999999999708,-40731.808349609375,3333.812744140625,353.5851058282593,7.32e+03
172.499999999964,-40690.905517578125,3300.865478515625,350.09070968281225,7.34e+03
179.99999999995717,-40523.59619140625,3155.021484375,334.62245514654194,7.36e+03
187.49999999995035,-40522.4931640625,3126.644287109375,331.6127617209258,7.37e+03
194.99999999994353,-40423.14416503906,3019.62451171875,320.2622146112485,7.38e+03
202.4999999999367,-40534.15783691406,3119.21533203125,330.82484468146134,7.36e+03
209.99999999992988,-40512.473876953125,3105.984130859375,329.42153980934006,7.34e+03
217.49999999992306,-40598.56604003906,3179.1455078125,337.1810557743498,7.33e+03
224.99999999991624,-40473.68054199219,3069.00341796875,325.4993551263468,7.28e+03
232.49999999990942,-40355.701904296875,2939.68505859375,311.7838140043955,7.29e+03
239.9999999999026,-40679.570068359375,3260.1484375,345.7722490008718,7.3e+03
247.49999999989578,-40718.78039550781,3313.029296875,351.38080763730426,7.3e+03
254.99999999988896,-40535.198486328125,3112.4775390625,330.11023248733267,7.31e+03
262.49999999988216,-40593.70373535156,3146.45654296875,333.71405508152196,7.31e+03
269.99999999987534,-40628.12609863281,3121.56689453125,331.0742520535117,7.32e+03
277.4999999998685,-40704.78515625,3222.6767578125,341.79799224300376,7.33e+03
284.9999999998617,-40615.00500488281,3124.453125,331.3803664588668,7.33e+03
292.4999999998549,-40606.677001953125,3127.677001953125,331.7222917441581,7.34e+03
299.99999999984806,-40648.70703125,3141.317626953125,333.1690202212345,7.33e+03
307.49999999984124,-40585.783203125,3083.8154296875,327.0703212042432,7.32e+03
314.9999999998344,-40616.72521972656,3071.82177734375,325.7982711046431,7.33e+03
322.4999999998276,-40711.07751464844,3136.176025390625,332.62370053109936,7.34e+03
329.9999999998208,-40711.873779296875,3141.849853515625,333.22546831831403,7.34e+03
337.49999999981395,-40655.21960449219,3063.85986328125,324.95382828723154,7.33e+03
344.99999999980713,-40755.926025390625,3122.10791015625,331.13163232100175,7.32e+03
352.4999999998003,-40691.68212890625,3021.23779296875,320.43331966881794,7.32e+03
359.9999999997935,-40729.492919921875,3069.447021484375,325.5464038384539,7.33e+03
367.49999999978667,-40806.540283203125,3160.7998046875,335.2353054041924,7.32e+03
374.99999999977985,-40826.623779296875,3174.156005859375,336.6518678110406,7.3e+03
382.499999999773,-40713.78088378906,3021.1044921875,320.4191817509256,7.3e+03
389.9999999997662,-40797.389404296875,3112.845458984375,330.14925417646054,7.3e+03
397.4999999997594,-40738.975341796875,3041.1650390625,322.54680892561805,7.3e+03
404.99999999975256,-40832.543212890625,3148.66064453125,333.9478227055742,7.3e+03
412.49999999974574,-40853.416015625,3128.17578125,331.7751924149532,7.29e+03
419.9999999997389,-40718.69958496094,2988.61083984375,316.97289595610863,7.28e+03
427.4999999997321,-40796.028564453125,3047.19873046875,323.1867439124176,7.29e+03
434.9999999997253,-40790.26013183594,3056.726806640625,324.1972943182535,7.29e+03
442.49999999971845,-40698.37268066406,2946.64990234375,312.52250726746166,7.29e+03
449.99999999971163,-40880.18701171875,3160.60400390625,335.2145387189365,7.28e+03
457.4999999997048,-40979.724853515625,3245.41650390625,344.20977603115983,7.27e+03
464.999999999698,-40952.126708984375,3242.0546875,343.8532208491484,7.27e+03
472.49999999969117,-40764.63659667969,3069.0888671875,325.5084178942265,7.27e+03
479.99999999968435,-40804.985595703125,3090.21630859375,327.7492001993032,7.26e+03
487.4999999996775,-40860.85876464844,3153.3408203125,334.44420344915875,7.26e+03
494.9999999996707,-40913.03674316406,3160.08154296875,335.15912636675756,7.26e+03
502.4999999996639,-40788.40954589844,3006.248291015625,318.8435289273542,7.26e+03
509.99999999965706,-40930.03771972656,3176.567626953125,336.90764501422933,7.27e+03
517.4999999996503,-40897.14404296875,3141.52197265625,333.1906931832783,7.28e+03
524.9999999996435,-40956.77880859375,3184.559814453125,337.7552986408325,7.26e+03
532.4999999996367,-40806.115478515625,3028.7431640625,321.22934141212914,7.27e+03
539.9999999996298,-40917.83093261719,3157.340576171875,334.86841866679805,7.26e+03
547.499999999623,-40884.08557128906,3127.706298828125,331.7253989788597,7.26e+03
554.9999999996162,-40883.33654785156,3143.277099609375,333.3768424355282,7.26e+03
562.4999999996094,-40844.060302734375,3092.339599609375,327.9743970343034,7.26e+03
569.9999999996026,-40871.50256347656,3122.903564453125,331.21601963677335,7.25e+03
577.4999999995957,-40984.830810546875,3248.8271484375,344.5715099376739,7.25e+03
584.9999999995889,-40945.41320800781,3167.013671875,335.89434988440695,7.26e+03
592.4999999995821,-40883.32421875,3105.291015625,329.3480278150241,7.27e+03
599.9999999995753,-40846.92919921875,3084.06591796875,327.0968880609421,7.26e+03
607.4999999995684,-40874.73571777344,3082.1474609375,326.8934159752307,7.27e+03
614.9999999995616,-40772.14660644531,3021.47509765625,320.4584882699011,7.27e+03
622.4999999995548,-40849.76062011719,3087.7119140625,327.4835834195593,7.28e+03
629.999999999548,-40878.52001953125,3124.294677734375,331.3635614978555,7.28e+03
637.4999999995412,-40847.95751953125,3124.173828125,331.35074415471126,7.29e+03
644.9999999995343,-40794.21887207031,3071.109130859375,325.7226876205261,7.29e+03
652.4999999995275,-40824.73791503906,3095.31982421875,328.29048048432617,7.3e+03
659.9999999995207,-40719.11279296875,2981.408447265625,316.20900819833673,7.3e+03
667.4999999995139,-40793.081298828125,3069.32470703125,325.53343113357465,7.3e+03
674.999999999507,-40939.85998535156,3182.70654296875,337.55874015233223,7.29e+03
682.4999999995002,-40675.8125,2876.93359375,305.1283762097405,7.3e+03
689.9999999994934,-40894.353271484375,3074.51904296875,326.0843438461727,7.3e+03
697.4999999994866,-40914.59423828125,3066.388671875,325.2220344292268,7.31e+03
704.9999999994798,-40977.18212890625,3120.65966796875,330.9780313522514,7.32e+03
712.499999999473,-40923.205810546875,3071.8740234375,325.803812339861,7.32e+03
719.9999999994661,-40973.115966796875,3148.39697265625,333.9198575932596,7.33e+03
727.4999999994593,-40987.948486328125,3157.63134765625,334.8992579712117,7.33e+03
734.9999999994525,-40951.84655761719,3094.646728515625,328.2190917670564,7.33e+03
742.4999999994457,-41030.46240234375,3123.94287109375,331.3262487878135,7.33e+03
749.9999999994388,-40987.27746582031,3082.1044921875,326.8888586976683,7.32e+03
757.499999999432,-40939.64599609375,3034.0810546875,321.7954795747652,7.32e+03
764.9999999994252,-41044.595458984375,3150.94091796875,334.18966913985065,7.33e+03
772.4999999994184,-40895.861083984375,3000.685302734375,318.2535168447607,7.33e+03
779.9999999994116,-40959.42468261719,3025.807861328125,320.9180223886489,7.33e+03
787.4999999994047,-41063.10546875,3113.984375,330.27004792548627,7.33e+03
794.9999999993979,-40997.112548828125,3065.015869140625,325.0764345898331,7.33e+03
802.4999999993911,-40990.907470703125,3057.9560546875,324.3276687076092,7.34e+03
809.9999999993843,-41104.290283203125,3174.057861328125,336.64145857479014,7.33e+03
817.4999999993775,-41013.146728515625,3087.09326171875,327.41796898011,7.33e+03
824.9999999993706,-41008.239990234375,3081.021484375,326.77399458819826,7.32e+03
832.4999999993638,-41023.389404296875,3039.1904296875,322.3373813067285,7.32e+03
839.999999999357,-40885.57800292969,2910.41845703125,308.67979011196246,7.32e+03
847.4999999993502,-40977.76086425781,2985.5703125,316.650416781325,7.33e+03
854.9999999993433,-41061.45251464844,3078.030029296875,326.4567200315399,7.33e+03
862.4999999993365,-40990.99084472656,2979.53271484375,316.01006749656517,7.33e+03
869.9999999993297,-41122.38146972656,3108.07275390625,329.6430597499434,7.33e+03
877.4999999993229,-41037.02258300781,3014.5478515625,319.723782624702,7.33e+03
884.9999999993161,-41021.121337890625,2994.342529296875,317.580800531859,7.33e+03
892.4999999993092,-41123.837890625,3106.703125,329.49779652764244,7.34e+03
899.9999999993024,-41089.51574707031,3062.783203125,324.83963741194685,7.33e+03
907.4999999992956,-41023.07958984375,2995.166015625,317.66813972059714,7.33e+03
914.9999999992888,-41075.48107910156,3037.7763671875,322.18740544513014,7.33e+03
922.499999999282,-41092.967529296875,3069.96484375,325.6013242118051,7.34e+03
929.9999999992751,-41167.989013671875,3135.6435546875,332.5672265403973,7.34e+03
937.4999999992683,-41021.46252441406,3006.462158203125,318.8662117406761,7.34e+03
944.9999999992615,-41171.59619140625,3178.047119140625,337.06456036666134,7.35e+03
952.4999999992547,-41030.48046875,3037.9013671875,322.20066297985704,7.35e+03
959.9999999992478,-40938.90588378906,2965.42236328125,314.5135196897727,7.35e+03
967.499999999241,-41039.87609863281,3044.27880859375,322.87705618715574,7.36e+03
974.9999999992342,-41077.743896484375,3083.547119140625,327.0418641131008,7.35e+03
982.4999999992274,-41042.85534667969,3024.754638671875,320.8063173011255,7.35e+03
989.9999999992206,-40928.67712402344,2935.576171875,311.3480243374926,7.35e+03
997.4999999992137,-41125.35632324219,3179.151611328125,337.1817031149126,7.35e+03
1004.9999999992069,-41077.51953125,3108.066650390625,329.6424124093806,7.35e+03
1012.4999999992001,-40982.88220214844,3016.37158203125,319.91720798487813,7.35e+03
1019.9999999991933,-41052.77001953125,3072.89892578125,325.91251376717287,7.35e+03
1027.499999999213,-40970.34631347656,2975.67724609375,315.6011554098314,7.35e+03
1034.999999999263,-41086.066162109375,3079.95654296875,326.66104660679423,7.35e+03
1042.499999999313,-41014.38317871094,2994.49755859375,317.5972429821551,7.36e+03
1049.9999999993631,-41059.97717285156,3028.6962890625,321.22436983660657,7.35e+03
1057.4999999994131,-41113.882080078125,3093.77685546875,328.1268327900406,7.35e+03
1064.9999999994632,-41031.564208984375,3006.939208984375,318.9168078790675,7.35e+03
1072.4999999995132,-41045.02197265625,3016.11181640625,319.8896571705237,7.35e+03
1079.9999999995632,-40989.862548828125,2939.0810546875,311.7197531822969,7.34e+03
1087.4999999996132,-40849.32727050781,2780.60009765625,294.9112188511034,7.34e+03
1094.9999999996633,-41119.6083984375,3034.6943359375,321.86052435451916,7.34e+03
1102.4999999997133,-41106.88427734375,3016.94287109375,319.9777990615598,7.33e+03
1109.9999999997633,-41172.00427246094,3050.17626953125,323.50254253259277,7.33e+03
1117.4999999998133,-41121.6923828125,2989.740234375,317.0926798538562,7.34e+03
1124.9999999998633,-41238.896728515625,3108.046630859375,329.64028913233443,7.33e+03
1132.4999999999134,-40961.58508300781,2816.20654296875,298.68764833296797,7.33e+03
1139.9999999999634,-41141.26965332031,2992.361328125,317.3706737851616,7.33e+03
1147.5000000000134,-41045.39367675781,2899.537353515625,307.52573725015657,7.32e+03
1155.0000000000634,-41090.69274902344,2932.205322265625,310.9905110914481,7.32e+03
1162.5000000001135,-41109.53759765625,2971.2587890625,315.13253262958136,7.32e+03
1170.0000000001635,-41202.37463378906,3049.62158203125,323.44371222224197,7.31e+03
1177.5000000002135,-41148.23645019531,3015.1923828125,319.7921417881377,7.29e+03
1185.0000000002635,-41081.795654296875,2951.2314453125,313.00842698755076,7.29e+03
1192.5000000003135,-41108.15478515625,2968.41650390625,314.8310790762788,7.29e+03
1200.0000000003636,-41166.58410644531,3013.3271484375,319.59431451213425,7.29e+03
1207.5000000004136,-41125.20947265625,2959.50537109375,313.8859618545346,7.29e+03
1215.0000000004636,-41132.34912109375,2961.85693359375,314.135369226585,7.29e+03
1222.5000000005136,-41257.585205078125,3074.38037109375,326.069636268585,7.29e+03
1230.0000000005637,-41167.63879394531,2953.06640625,313.2030434543625,7.29e+03
1237.5000000006137,-41125.66809082031,2896.265380859375,307.1787109212301,7.29e+03
1245.0000000006637,-41146.47546386719,2903.777587890625,307.97545768597166,7.28e+03
1252.5000000007137,-41241.601806640625,2971.052490234375,315.1106525185574,7.28e+03
1260.0000000007637,-41205.968017578125,2939.2060546875,311.7330107170239,7.28e+03
1267.5000000008138,-41250.145751953125,2974.69921875,315.49742555804215,7.29e+03
1275.0000000008638,-41263.48291015625,2998.24365234375,317.9945547260028,7.29e+03
1282.5000000009138,-41166.20300292969,2887.40283203125,306.23874653036614,7.29e+03
1290.0000000009638,-41261.183837890625,2980.778076171875,316.1421508650067,7.29e+03
